,hheaAscent,hheaDescent,hheaLineGap,winAscent,winDescent,typoAscent,typoDescent,typoLineGap,UPM,useTypoMetrics,OS/2 version,a width,b width,c width,d width,e width,f width,g width,h width,i width,j width,k width,l width,m width,n width,o width,p width,q width,r width,s width,t width,u width,v width,w width,x width,y width,x width,space width
"/apache/aclonica/Aclonica-Regular.tff",1687,-533,101,1687,533,1687,-533,101,2048,0,3,1445,1446,1266,1446,1322,998,1445,1404,623,620,1309,620,2012,1404,1433,1445,1445,1123,1207,942,1404,1192,1730,1177,1175,1132,580
"/apache/arimo/Arimo-Italic[wght].tff",1854,-434,67,2136,797,1854,-434,67,2048,1,4,1139,1139,1024,1139,1139,569,1139,1139,455,455,1024,455,1706,1139,1139,1139,1139,682,1024,569,1139,1024,1479,1024,1024,1024,1536
"/apache/arimo/Arimo[wght].tff",1854,-434,67,2136,797,1854,-434,67,2048,1,4,1139,1139,1024,1139,1139,569,1139,1139,455,455,1024,455,1706,1139,1139,1139,1139,682,1024,569,1139,1024,1479,1024,1024,1024,1536
"/apache/calligraffitti/Calligraffitti-Regular.tff",986,-607,14,986,607,866,-457,28,1024,0,3,457,399,326,454,359,294,433,505,265,231,404,305,680,463,445,418,421,355,369,331,488,381,658,382,443,377,297
"/apache/cherrycreamsoda/CherryCreamSoda-Regular.tff",1006,-247,29,1006,247,738,-247,57,1024,0,3,639,718,646,729,635,498,689,694,285,305,585,304,1038,696,748,728,729,442,640,471,686,572,811,623,666,625,358
"/apache/chewy/Chewy-Regular.tff",1003,-310,25,1003,310,801,-308,49,1024,0,3,485,534,427,497,459,382,524,525,244,270,479,263,673,478,458,519,513,432,333,384,499,498,740,452,530,469,0
"/apache/comingsoon/ComingSoon-Regular.tff",1053,-498,21,1053,498,792,-444,42,1024,0,3,560,564,421,541,505,410,548,579,245,253,557,249,982,611,520,549,541,443,520,422,580,487,827,495,535,496,340
"/apache/cousine/Cousine-Bold.tff",1705,-615,0,1705,615,1297,-428,0,2048,0,3,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229
"/apache/cousine/Cousine-BoldItalic.tff",1705,-615,0,1705,615,1297,-428,0,2048,0,3,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229
"/apache/cousine/Cousine-Italic.tff",1705,-615,0,1705,615,1255,-386,0,2048,0,3,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229
"/apache/cousine/Cousine-Regular.tff",1705,-615,0,1705,615,1255,-386,0,2048,0,3,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229
"/apache/craftygirls/CraftyGirls-Regular.tff",1001,-461,21,1001,461,761,-327,40,1024,0,3,678,687,638,718,599,407,554,562,217,252,464,224,904,610,655,699,669,518,531,445,593,546,927,531,584,542,389
"/apache/creepstercaps/CreepsterCaps-Regular.tff",974,-223,0,974,223,974,-223,0,1024,0,3,442,460,444,440,413,407,444,497,336,376,465,325,671,521,481,474,492,470,408,461,501,464,650,473,442,401,241
"/apache/crushed/Crushed-Regular.tff",1820,-483,51,1820,483,1374,-115,100,2048,0,3,889,876,852,964,910,732,946,953,401,571,834,696,1382,948,1002,838,1002,666,765,715,948,835,1296,807,821,751,400
"/apache/fontdinerswanky/FontdinerSwanky-Regular.tff",1047,-510,20,1047,510,879,-251,40,1024,0,3,586,741,604,731,608,520,621,695,403,395,767,378,1014,659,722,741,699,610,546,433,629,655,825,735,671,563,328
"/apache/homemadeapple/HomemadeApple-Regular.tff",1327,-866,18,1327,866,989,-662,35,1024,0,3,664,626,625,690,608,604,661,592,386,318,646,536,1053,599,552,688,597,661,592,478,732,595,1063,406,662,467,358
"/apache/irishgrover/IrishGrover-Regular.tff",965,-246,27,965,246,780,-180,54,1024,0,3,550,596,544,606,566,351,648,570,245,243,467,226,884,600,545,666,594,490,477,349,544,403,658,464,583,463,328
"/apache/jsmathcmbx10/jsMath-cmbx10.tff",752,-252,90,752,252,800,-200,0,1000,0,3,559,639,511,639,527,351,575,639,319,351,607,319,958,639,575,639,607,474,454,447,639,607,831,607,607,511,0
"/apache/jsmathcmex10/jsMath-cmex10.tff",772,-2960,90,772,2960,800,-200,0,1000,0,3,1278,556,1000,1444,556,1000,1444,472,472,528,528,528,528,667,667,1000,1000,1000,1000,1056,1056,1056,778,667,667,450,0
