font,ascent-override,descent-override,line-gap-override
"/apache/aclonica/Aclonica-Regular.ttf",varies by OS,varies by OS,varies by OS
"/apache/arimo/Arimo-Italic[wght].ttf",0.9052734375,0.2119140625,0.03271484375
"/apache/arimo/Arimo[wght].ttf",0.9052734375,0.2119140625,0.03271484375
"/apache/calligraffitti/Calligraffitti-Regular.ttf",varies by OS,varies by OS,varies by OS
"/apache/cherrycreamsoda/CherryCreamSoda-Regular.ttf",varies by OS,varies by OS,varies by OS
"/apache/chewy/Chewy-Regular.ttf",varies by OS,varies by OS,varies by OS
"/apache/comingsoon/ComingSoon-Regular.ttf",varies by OS,varies by OS,varies by OS
"/apache/cousine/Cousine-Bold.ttf",0.8325195313,0.3002929688,0
"/apache/cousine/Cousine-BoldItalic.ttf",0.8325195313,0.3002929688,0
"/apache/cousine/Cousine-Italic.ttf",0.8325195313,0.3002929688,0
"/apache/cousine/Cousine-Regular.ttf",0.8325195313,0.3002929688,0
"/apache/craftygirls/CraftyGirls-Regular.ttf",varies by OS,varies by OS,varies by OS
"/apache/creepstercaps/CreepsterCaps-Regular.ttf",0.951171875,0.2177734375,0
"/apache/crushed/Crushed-Regular.ttf",varies by OS,varies by OS,varies by OS
"/apache/fontdinerswanky/FontdinerSwanky-Regular.ttf",varies by OS,varies by OS,varies by OS
"/apache/homemadeapple/HomemadeApple-Regular.ttf",varies by OS,varies by OS,varies by OS
"/apache/irishgrover/IrishGrover-Regular.ttf",varies by OS,varies by OS,varies by OS
"/apache/jsmathcmbx10/jsMath-cmbx10.ttf",varies by OS,varies by OS,varies by OS
"/apache/jsmathcmex10/jsMath-cmex10.ttf",varies by OS,varies by OS,varies by OS
"/apache/jsmathcmmi10/jsMath-cmmi10.ttf",varies by OS,varies by OS,varies by OS
"/apache/jsmathcmr10/jsMath-cmr10.ttf",varies by OS,varies by OS,varies by OS
"/apache/jsmathcmsy10/jsMath-cmsy10.ttf",varies by OS,varies by OS,varies by OS
"/apache/jsmathcmti10/jsMath-cmti10.ttf",varies by OS,varies by OS,varies by OS
"/apache/justanotherhand/JustAnotherHand-Regular.ttf",varies by OS,varies by OS,varies by OS
"/apache/kosugi/Kosugi-Regular.ttf",0.8798828125,0.1201171875,0
"/apache/kosugimaru/KosugiMaru-Regular.ttf",0.8798828125,0.1201171875,0
"/apache/kranky/Kranky-Regular.ttf",varies by OS,varies by OS,varies by OS
"/apache/luckiestguy/LuckiestGuy-Regular.ttf",varies by OS,varies by OS,varies by OS
"/apache/maidenorange/MaidenOrange-Regular.ttf",varies by OS,varies by OS,varies by OS
"/apache/montez/Montez-Regular.ttf",0.8940429688,0.4140625,0
"/apache/mountainsofchristmas/MountainsofChristmas-Bold.ttf",varies by OS,varies by OS,varies by OS
"/apache/mountainsofchristmas/MountainsofChristmas-Regular.ttf",1.041015625,0.345703125,0
"/apache/opensanscondensed/OpenSansCondensed-Bold.ttf",1.068847656,0.29296875,0
"/apache/opensanscondensed/OpenSansCondensed-Light.ttf",1.068847656,0.29296875,0
"/apache/opensanscondensed/OpenSansCondensed-LightItalic.ttf",1.068847656,0.29296875,0
"/apache/opensanshebrew/OpenSansHebrew-Bold.ttf",1.068847656,0.29296875,0
"/apache/opensanshebrew/OpenSansHebrew-BoldItalic.ttf",1.068847656,0.29296875,0
"/apache/opensanshebrew/OpenSansHebrew-ExtraBold.ttf",1.068847656,0.29296875,0
"/apache/opensanshebrew/OpenSansHebrew-ExtraBoldItalic.ttf",1.068847656,0.29296875,0
"/apache/opensanshebrew/OpenSansHebrew-Italic.ttf",1.068847656,0.29296875,0
"/apache/opensanshebrew/OpenSansHebrew-Light.ttf",1.068847656,0.29296875,0
"/apache/opensanshebrew/OpenSansHebrew-LightItalic.ttf",1.068847656,0.29296875,0
"/apache/opensanshebrew/OpenSansHebrew-Regular.ttf",1.068847656,0.29296875,0
"/apache/opensanshebrewcondensed/OpenSansHebrewCondensed-Bold.ttf",1.068847656,0.29296875,0
